Dealer Code,Name,City,State,Latitude,Longitude,Diesel Price
224629,GAVENDRA FILLING STATION,TEHSIL SAHAWAR,Uttar Pradesh,27.814305,78.814315,88.02
224632,SURAJPAL FILLING STATION,ETAWAH,Uttar Pradesh,26.6980782,79.0816318,88.21
224635,UNIVERSAL FILLING STATION,CHITRAKOOT,Uttar Pradesh,25.212118,80.809511,88.74
224636,BAINS FILLING SERVICE,AMBALA,Haryana,30.247868,76.709826,88.4
224642,JSN FUELS CENTRE,ARCOT,Tamil Nadu,12.822964,79.238379,93.42
224644,BABA BUDHA JI FILLING STATION,TARN TARAN,Punjab,31.418118,74.739943,88.07
224645,YUVRAJ FILLING STATION,KALPI,Uttar Pradesh,25.997247,79.684868,88.09
224646,SHREE OM FUELS,SURENDRANAGAR,Gujarat,23.425179,71.92705,91.25
224648,SAI FUEL STATION,ROHTAK,Haryana,28.932319,76.758415,87.89
224650,SHRI JI FILLING STATION,JALAUN,Uttar Pradesh,26.286812,79.435497,88.45
224652,D P LANDGE PETROLEUM,PUNE,Maharashtra,18.6407551,73.8501231,90.43
224658,MAJU & COMPANY,UDHAGAMANDALAM,Tamil Nadu,11.373504,76.667485,94.44
224662,RAAS FUELS,COIMBATORE,Tamil Nadu,11.078378,76.931396,92.91
224663,HEMANANDA FUELS,BANGALORE,Karnataka,13.097917,77.598325,91.02
224666,SHRI BASAV PETROLEUMS,TUNGAL,Karnataka,16.692363,75.270349,91.24
224667,YASHODHARA PETROLEUMS,DHARWAD,Karnataka,15.4780411,75.1243226,90.81
224669,NS & CO,DEVIPATTANAM,Tamil Nadu,10.538102,76.903954,93.24
224670,SHRI BALAJI FUEL,JAWALI,Chhattisgarh,22.42955,82.53627,93.1
224671,R. B. FUELS,PALI,Chhattisgarh,22.36964,82.31975,93.34
224683,GANVIKA FUELS AND SERVICES,MARAVANJI VILLAGE,Karnataka,13.942347,75.973205,92.19
224684,RAJ FUEL CENTRE,MADHOGARH,Uttar Pradesh,26.282235,79.245162,88.85
224685,SRI BANNARIYAMMA PETROLEUM,CHANNARAYAPATNA,Karnataka,12.981956,76.351295,91.04
224687,MAHAKAL PETRO STATION,KHERA,Haryana,28.898221,75.664917,88.65
224690,ANP QUALITY FUELS,THICKANAMCODE,Tamil Nadu,8.201887,77.26748,93.43
224691,SHREE BHYRAVESHWARA FUEL STATION,BATHAMANAGALA,Karnataka,13.1133783,78.1894143,91.11
224692,YADALAXMI FILLING STATION,HYDERABAD,Telangana,17.497507,78.610199,95.73
224695,TALWAR FILLING STATION,AMRITSAR,Punjab,31.781577,74.912874,87.97
224698,SRI KRISHNA FILLING STATION,BASTI,Uttar Pradesh,26.625291,82.769324,88.69
224699,SHREE RENWAT FILLING STATION,SANKARA,Rajasthan,26.726198,71.581661,91.61
224700,SHRI BALAJI PETROLEUM,SUJAWATA,Madhya Pradesh,23.4486601,75.0610273,91.8
224702,RAN SINGH & JOR SINGH FUELS,ETAWAH,Uttar Pradesh,26.7503692,78.8784365,88.21
224703,ASHOKA FILLING STATION,GWALIOR,Madhya Pradesh,25.890201,77.770104,92.52
224708,SRI VENKATESHWARA FUEL STATION,TENDEKERE,Karnataka,12.5966764,76.5545355,90.74
224709,FARMERS FUEL STATION,KHUNAN KALAN,Punjab,30.34630394,74.38660431,87.7
224710,SIAMLIANA FILLING STATION,HAULAWNG,Mizoram,23.0724228,92.7630619,88.62
224711,PHOGAT FILLING STATION,KHEDI,Rajasthan,27.568139,76.833,90.5
224712,RALHI FUELS SERVICES,BHADOHI,Uttar Pradesh,25.261245,82.58321,88.26
224713,MAHADEV FILLING STATION,NURPUR,Himachal Pradesh,32.259461,75.714508,86.34
224714,VIJAY RAJ FUELS,BALENGA,Chhattisgarh,19.260771,81.891148,95.21
224715,DIVYA RAJ FILLING STATION,BEHAT,Uttar Pradesh,30.06582,77.75217,88.79
224716,SHRI DEEP SHAKTI SERVICE STATION,SAHARANPUR,Uttar Pradesh,30.031015,77.441559,88.8
224718,VINAYAK PETROLEUM,PATAN,Gujarat,23.87716,72.145804,90.22
224720,JAI BAJRANGBALI FILLING STATION,BARANI,Rajasthan,25.51063,76.01128,90.2
224721,AMBAGAN FILLING STATION,NAGAON,Assam,26.513592,92.837395,90.26
224722,SUMITRA DEVI FUELS,KARANJA BHILAI,Chhattisgarh,21.29565,81.324061,93.6
224723,M S HIMMATSAR FILLING STATION,BIKANER,Rajasthan,27.6681926,73.6612272,91.69
224724,ISLAM FILLING POINT,ISLAMPUR,West Bengal,26.260477,88.201355,92.27
224728,RAGHUKUL FUELS,LUNDRA,Chhattisgarh,23.0973059,83.231816,94.52
224729,GURU PETROLEUMS,YADGIR,Karnataka,16.768467,77.163035,91.33
224732,NS FUELS,ERNAKULAM,Kerala,9.993499,76.397385,94.51
224736,N BHUSHAN FILLING STATION,BILARI,Uttar Pradesh,28.689428256,78.77501106,87.93
224743,GANPATI SALES AND SERVICE,JAMTARA,Jharkand,23.99007044,86.72151955,92.96
224749,KAMRUN FUEL STATION,BARHI,Jharkand,24.2295,85.311,93.94
224750,SAT SAHEB FILLING STATION,JODHPUR,Rajasthan,26.58941,72.2914,90.84
224752,AUTO ENERGY STATION,KOLORIANG,Arunachal Pradesh,27.9042,93.34976,82.02
224753,SRI VIJAI TRADERS,KADAMBUR,Tamil Nadu,11.499368,78.607503,93.61
224754,AARYA FUELS,BOKARO,Jharkand,23.664197,85.986102,93.07
224756,DR.K.EZHILARASU HIGH-QUALITY FUELS,PEYODU,Tamil Nadu,8.157887,77.352506,93.43
224759,GEETA FILLING,INDORE,Madhya Pradesh,23.017246,75.773377,91.89
224760,V S KAMESWARI FILLING STATION,NELLORE,Andhra Pradesh,14.4388661,79.9978156,97.85
224761,SHRI DURADUNDESHWAR PETROLEUM,GHATAPRABHA,Karnataka,16.2025915,74.8268831,91.45
224765,SRI MALLIKARJUNA FILLING STATION,LINGASUGUR,Karnataka,16.056182,76.564903,92.32
224766,S.G.FUEL STATION,HARDA,Madhya Pradesh,22.42668,77.035126,92.5
224767,MAHADEV PETROLEUM,JALORE,Rajasthan,24.819516,72.078209,91.86
224772,VEGGALAM'S FILLING STATION,KHAMMAM,Telangana,17.242012,80.160439,95.72
224773,AMASEBAILU FUEL STATION,"AMASEBAILU VILLAGE, UDUPI DISTRICT",Karnataka,13.606,74.9384,90.84
224776,SHREE SADGURU PETROLEUM,PUNE,Maharashtra,18.556469,73.668823,90.49
224777,AASHIRWAD FUELS,AKHOL VILLAGE,Karnataka,16.457924,74.416593,91.59
224778,PRASHANTHI FILLING STATION,KHAMMAM,Telangana,17.250292,80.136037,95.72
224779,S.S.S. FILLING STATION,MULUGU,Telangana,18.195577,80.148698,95.66
224780,TIWARI FUEL PUMP,BHAMORI,Madhya Pradesh,22.716421,76.272005,92.21
224781,TRIMURTIPETROLEUM,SITAMARHI,Bihar,26.734307,85.3003422,92.87
224782,ROYAL PETROZ,SIRSA,Haryana,29.534533,75.018737,89.09
224783,SADIK FUEL STATION,RADHNA INAYATPUR,Uttar Pradesh,28.910811,77.941836,87.5
224784,JOYA FUEL STATION,JOYA,Uttar Pradesh,28.818842,78.489311,88.26
224785,MAA DURGA FILLING STATION,GUDHA KATLA,Rajasthan,27.061634,76.488111,90.73
